StockCode,TotalRevenue,TotalQuantity,PurchaseFrequency,UniqueCustomers,ReturnRate,SalesRevenue,ReturnLoss,NetRevenue,Cluster,Category,Insight
21654,432.54,946,47,40,0,432.54,0,432.54,0,Low Demand,✅ Profitable Product
21655,0,0,5,1,3,60.84,-60.84,0,0,Low Demand,📉 Low Performance
21656,169.65,117,17,15,0,169.65,0,169.65,0,Low Demand,📉 Low Performance
21657,194.6,28,15,11,0,194.6,0,194.6,0,Low Demand,📉 Low Performance
21658,2757.78,742,149,83,23,2874.07,-116.29,2757.78,2,Hidden Loss,⚠️ High Return Risk
21661,17.85,3,3,3,0,17.85,0,17.85,0,Low Demand,📉 Low Performance
21662,416.3,74,16,14,0,416.3,0,416.3,0,Low Demand,✅ Profitable Product
21664,346.47,97,17,15,0,346.47,0,346.47,0,Low Demand,✅ Profitable Product
21666,249.6,384,33,21,0,249.6,0,249.6,0,Low Demand,✅ Profitable Product
21667,0,0,2,1,1,29.9,-29.9,0,0,Low Demand,📉 Low Performance
21668,6121.36,4951,343,170,10,6224.03,-102.67,6121.36,2,Hidden Loss,✅ Profitable Product
21669,6169.24,4889,361,167,10,6284.25,-115.01,6169.24,2,Hidden Loss,✅ Profitable Product
21670,4932.27,3935,296,159,7,5028.52,-96.25,4932.27,2,Hidden Loss,✅ Profitable Product
21671,4827.59,3928,293,166,14,5042.4,-214.81,4827.59,2,Hidden Loss,⚠️ High Return Risk
21672,5540.49,4505,314,159,7,5618.04,-77.55,5540.49,2,Hidden Loss,✅ Profitable Product
21673,4816.55,3891,284,155,8,4960.5,-143.95,4816.55,2,Hidden Loss,✅ Profitable Product
21675,437.61,513,52,45,1,447.81,-10.2,437.61,0,Low Demand,✅ Profitable Product
21676,191.05,211,32,21,0,191.05,0,191.05,0,Low Demand,📉 Low Performance
21677,644.8,754,81,62,1,655,-10.2,644.8,0,Low Demand,✅ Profitable Product
21678,88.4,104,16,16,0,88.4,0,88.4,0,Low Demand,📉 Low Performance
21679,891.22,1054,87,67,0,891.22,0,891.22,0,Low Demand,✅ Profitable Product
21680,683.4,804,53,43,0,683.4,0,683.4,0,Low Demand,✅ Profitable Product
21681,19.9,2,2,2,0,19.9,0,19.9,0,Low Demand,📉 Low Performance
21682,866.31,174,51,42,1,881.16,-14.85,866.31,0,Low Demand,✅ Profitable Product
21683,876.15,297,48,39,0,876.15,0,876.15,0,Low Demand,✅ Profitable Product
21684,575.41,764,36,27,0,575.41,0,575.41,0,Low Demand,✅ Profitable Product
21686,1228.4,32,19,6,1,1268.35,-39.95,1228.4,0,Low Demand,✅ Profitable Product
21688,932.2,316,39,36,0,932.2,0,932.2,0,Low Demand,✅ Profitable Product
21689,345,92,23,22,0,345,0,345,0,Low Demand,✅ Profitable Product
21690,90,24,7,6,0,90,0,90,0,Low Demand,📉 Low Performance
21692,63.75,17,7,7,0,63.75,0,63.75,0,Low Demand,📉 Low Performance
21693,1056.1,358,43,40,0,1056.1,0,1056.1,0,Low Demand,✅ Profitable Product
21694,817.05,303,20,18,0,817.05,0,817.05,0,Low Demand,✅ Profitable Product
21695,834.85,283,35,35,0,834.85,0,834.85,0,Low Demand,✅ Profitable Product
21696,631.3,214,30,27,1,666.7,-35.4,631.3,0,Low Demand,✅ Profitable Product
21698,116.62,266,22,22,0,116.62,0,116.62,0,Low Demand,📉 Low Performance
21700,1045.5,1230,86,58,1,1076.1,-30.6,1045.5,0,Low Demand,✅ Profitable Product
21703,3395.23,9186,248,175,5,3431.35,-36.12,3395.23,2,Hidden Loss,✅ Profitable Product
21704,3852.52,4999,200,137,3,3856.38,-3.86,3852.52,2,Hidden Loss,✅ Profitable Product
21705,1267.61,1357,113,89,3,1299.21,-31.6,1267.61,0,Low Demand,✅ Profitable Product
21706,1134.58,229,68,53,0,1134.58,0,1134.58,0,Low Demand,✅ Profitable Product
21707,601.22,120,47,44,0,601.22,0,601.22,0,Low Demand,✅ Profitable Product
21708,677.5,138,33,28,1,682.45,-4.95,677.5,0,Low Demand,✅ Profitable Product
21709,430.06,87,31,30,0,430.06,0,430.06,0,Low Demand,✅ Profitable Product
21710,412.41,84,31,29,0,412.41,0,412.41,0,Low Demand,✅ Profitable Product
21711,420.1,86,23,22,0,420.1,0,420.1,0,Low Demand,✅ Profitable Product
21713,1415.75,685,130,103,5,1448.1,-32.35,1415.75,0,Low Demand,✅ Profitable Product
21714,1331.25,1065,131,106,5,1356.25,-25,1331.25,0,Low Demand,✅ Profitable Product
21715,2736.75,1141,138,116,0,2736.75,0,2736.75,0,Low Demand,✅ Profitable Product
21716,2901.32,1198,138,112,1,2921.72,-20.4,2901.32,0,Low Demand,✅ Profitable Product
21717,931.95,405,38,34,0,931.95,0,931.95,0,Low Demand,✅ Profitable Product
21718,1612.42,1288,144,106,1,1613.67,-1.25,1612.42,0,Low Demand,✅ Profitable Product
21719,255.85,301,34,29,0,255.85,0,255.85,0,Low Demand,✅ Profitable Product
21720,48.45,57,8,8,0,48.45,0,48.45,0,Low Demand,📉 Low Performance
21721,148.75,175,20,19,0,148.75,0,148.75,0,Low Demand,📉 Low Performance
21722,54.4,64,16,14,1,55.25,-0.85,54.4,0,Low Demand,📉 Low Performance
21723,315.35,371,38,29,0,315.35,0,315.35,0,Low Demand,✅ Profitable Product
21724,316.2,372,57,43,0,316.2,0,316.2,0,Low Demand,✅ Profitable Product
21725,232.9,274,32,26,0,232.9,0,232.9,0,Low Demand,✅ Profitable Product
21726,196.35,231,36,29,0,196.35,0,196.35,0,Low Demand,📉 Low Performance
21730,2255.54,484,127,80,9,2324.14,-68.6,2255.54,0,Low Demand,✅ Profitable Product
21731,19583.41,12697,533,266,11,19844.91,-261.5,19583.41,1,Stable,✅ Profitable Product
21733,22471.74,7702,692,385,13,22624.69,-152.95,22471.74,1,Stable,✅ Profitable Product
21735,2169,177,95,61,13,2551.95,-382.95,2169,0,Low Demand,⚠️ High Return Risk
21736,136.05,77,6,5,1,137.22,-1.17,136.05,0,Low Demand,📉 Low Performance
21738,132.75,45,18,17,0,132.75,0,132.75,0,Low Demand,📉 Low Performance
21739,417.44,143,48,38,0,417.44,0,417.44,0,Low Demand,✅ Profitable Product
21741,386.45,131,28,27,0,386.45,0,386.45,0,Low Demand,✅ Profitable Product
21742,1148.35,193,89,75,0,1148.35,0,1148.35,0,Low Demand,✅ Profitable Product
21743,727.1,266,33,29,2,753.65,-26.55,727.1,0,Low Demand,✅ Profitable Product
21744,1128.09,367,80,66,0,1128.09,0,1128.09,0,Low Demand,✅ Profitable Product
21745,3397.19,925,206,115,1,3412.19,-15,3397.19,2,Hidden Loss,✅ Profitable Product
21746,3502.95,2959,188,122,3,3521.7,-18.75,3502.95,2,Hidden Loss,✅ Profitable Product
21747,512.53,425,43,31,1,527.53,-15,512.53,0,Low Demand,✅ Profitable Product
21749,3628.2,1892,110,80,3,3645,-16.8,3628.2,0,Low Demand,✅ Profitable Product
21750,163.8,78,16,15,0,163.8,0,163.8,0,Low Demand,📉 Low Performance
21754,15565.91,2643,700,360,9,15630.96,-65.05,15565.91,1,Stable,✅ Profitable Product
21755,11511.76,1942,557,337,2,11535.56,-23.8,11511.76,2,Hidden Loss,✅ Profitable Product
21756,4715.93,790,243,168,1,4727.83,-11.9,4715.93,2,Hidden Loss,✅ Profitable Product
21757,29.7,6,3,3,0,29.7,0,29.7,0,Low Demand,📉 Low Performance
21758,202.4,32,14,13,0,202.4,0,202.4,0,Low Demand,✅ Profitable Product
21761,299.5,10,10,10,0,299.5,0,299.5,0,Low Demand,✅ Profitable Product
21763,169.75,6,4,4,0,169.75,0,169.75,0,Low Demand,📉 Low Performance
21769,607.65,11,2,2,0,607.65,0,607.65,0,Low Demand,✅ Profitable Product
21770,7281.66,1571,342,263,1,7311.36,-29.7,7281.66,2,Hidden Loss,✅ Profitable Product
21773,693.52,920,59,50,0,693.52,0,693.52,0,Low Demand,✅ Profitable Product
21774,645.78,834,53,39,1,647.03,-1.25,645.78,0,Low Demand,✅ Profitable Product
21775,310.16,280,42,34,1,313.91,-3.75,310.16,0,Low Demand,✅ Profitable Product
21777,15.9,2,5,5,2,55.65,-39.75,15.9,0,Low Demand,📉 Low Performance
21781,1729.35,117,89,52,8,2012.5,-283.15,1729.35,0,Low Demand,✅ Profitable Product
21784,487.55,49,39,21,1,507.45,-19.9,487.55,0,Low Demand,✅ Profitable Product
21785,267.95,411,4,3,0,267.95,0,267.95,0,Low Demand,✅ Profitable Product
21786,621.91,1567,89,55,1,631.15,-9.24,621.91,0,Low Demand,✅ Profitable Product
21787,6544.63,8227,183,115,3,6964.63,-420,6544.63,2,Hidden Loss,✅ Profitable Product
21788,918.43,1181,69,61,3,936.93,-18.5,918.43,0,Low Demand,✅ Profitable Product
21789,658.13,779,69,55,2,675.13,-17,658.13,0,Low Demand,✅ Profitable Product
21790,10375.17,13251,725,449,4,10447.42,-72.25,10375.17,1,Stable,✅ Profitable Product
21791,8486.41,7107,488,342,3,8531.41,-45,8486.41,2,Hidden Loss,✅ Profitable Product
21792,1384.7,330,71,58,1,1388.65,-3.95,1384.7,0,Low Demand,✅ Profitable Product
21793,1240.44,296,66,57,0,1240.44,0,1240.44,0,Low Demand,✅ Profitable Product
21794,2052.62,498,95,79,2,2064.47,-11.85,2052.62,0,Low Demand,✅ Profitable Product
21801,176.82,421,23,22,1,191.94,-15.12,176.82,0,Low Demand,📉 Low Performance
21802,419.58,999,47,45,1,420,-0.42,419.58,0,Low Demand,✅ Profitable Product
21803,477.96,1138,49,46,0,477.96,0,477.96,0,Low Demand,✅ Profitable Product
21804,656.7,178,40,37,0,656.7,0,656.7,0,Low Demand,✅ Profitable Product
21807,174.3,415,25,24,0,174.3,0,174.3,0,Low Demand,📉 Low Performance
21808,370,100,21,21,0,370,0,370,0,Low Demand,✅ Profitable Product
21809,995.3,1859,85,72,0,995.3,0,995.3,0,Low Demand,✅ Profitable Product
21810,2369.32,5246,175,129,2,2443.07,-73.75,2369.32,2,Hidden Loss,✅ Profitable Product
21811,2162.86,4284,156,119,1,2181.58,-18.72,2162.86,2,Hidden Loss,✅ Profitable Product
21812,967.8,204,45,36,3,1037.1,-69.3,967.8,0,Low Demand,✅ Profitable Product
21813,1152.45,243,42,38,2,1187.1,-34.65,1152.45,0,Low Demand,✅ Profitable Product
21814,108.75,75,12,11,0,108.75,0,108.75,0,Low Demand,📉 Low Performance
21815,191.4,132,18,15,0,191.4,0,191.4,0,Low Demand,📉 Low Performance
21816,49.3,34,7,6,0,49.3,0,49.3,0,Low Demand,📉 Low Performance
21817,408.86,908,54,48,0,408.86,0,408.86,0,Low Demand,✅ Profitable Product
21818,1281.13,2699,147,117,0,1281.13,0,1281.13,0,Low Demand,✅ Profitable Product
21819,1054.63,2465,118,95,0,1054.63,0,1054.63,0,Low Demand,✅ Profitable Product
21820,967.34,261,61,49,3,1079.84,-112.5,967.34,0,Low Demand,✅ Profitable Product
21821,780.45,211,41,35,1,825.45,-45,780.45,0,Low Demand,✅ Profitable Product
21822,563.1,612,60,46,2,567.79,-4.69,563.1,0,Low Demand,✅ Profitable Product
21823,687.98,1196,69,61,0,687.98,0,687.98,0,Low Demand,✅ Profitable Product
21824,663.2,1426,74,63,1,698,-34.8,663.2,0,Low Demand,✅ Profitable Product
21826,116.25,93,18,16,0,116.25,0,116.25,0,Low Demand,📉 Low Performance
21827,7.5,6,3,3,0,7.5,0,7.5,0,Low Demand,📉 Low Performance
21828,392.5,314,68,53,0,392.5,0,392.5,0,Low Demand,✅ Profitable Product
21829,1310.25,6354,132,104,1,1332.93,-22.68,1310.25,2,Hidden Loss,✅ Profitable Product
21830,1073.47,2551,90,63,2,1093.63,-20.16,1073.47,0,Low Demand,✅ Profitable Product
21832,1306.73,785,115,83,0,1306.73,0,1306.73,0,Low Demand,✅ Profitable Product
21833,4227.42,2598,123,87,3,4278.12,-50.7,4227.42,0,Low Demand,✅ Profitable Product
21836,11.25,3,2,2,0,11.25,0,11.25,0,Low Demand,📉 Low Performance
21839,5.45,1,1,1,0,5.45,0,5.45,0,Low Demand,📉 Low Performance
21841,310.25,73,20,19,0,310.25,0,310.25,0,Low Demand,✅ Profitable Product
21843,15460.2,1488,462,262,41,17929.75,-2469.55,15460.2,1,Stable,✅ Profitable Product
21844,4913.5,1794,145,100,11,4972.1,-58.6,4913.5,2,Hidden Loss,⚠️ High Return Risk
21845,1645.45,1855,90,64,8,1721.09,-75.64,1645.45,0,Low Demand,✅ Profitable Product
21846,306.22,60,25,12,1,365.62,-59.4,306.22,0,Low Demand,✅ Profitable Product
21847,44.55,9,5,5,0,44.55,0,44.55,0,Low Demand,📉 Low Performance
21849,260.74,52,22,16,0,260.74,0,260.74,0,Low Demand,✅ Profitable Product
21850,123.75,25,22,12,1,276.75,-153,123.75,0,Low Demand,📉 Low Performance
21851,138.72,26,15,12,0,138.72,0,138.72,0,Low Demand,📉 Low Performance
21864,1150.44,590,97,65,1,1192.44,-42,1150.44,0,Low Demand,✅ Profitable Product
21865,463.38,223,68,52,0,463.38,0,463.38,0,Low Demand,✅ Profitable Product
21866,670.46,537,106,79,0,670.46,0,670.46,0,Low Demand,✅ Profitable Product
21867,336.27,266,75,56,0,336.27,0,336.27,0,Low Demand,✅ Profitable Product
21868,2827.57,2261,242,153,10,2926.98,-99.41,2827.57,2,Hidden Loss,✅ Profitable Product
21870,1636.39,1331,140,97,3,1668.89,-32.5,1636.39,0,Low Demand,✅ Profitable Product
21871,5430.64,4592,281,135,11,6151.78,-721.14,5430.64,2,Hidden Loss,✅ Profitable Product
21872,1353.01,1253,121,82,2,1370.73,-17.72,1353.01,0,Low Demand,✅ Profitable Product
21873,1652.27,1495,92,62,4,1752.34,-100.07,1652.27,0,Low Demand,✅ Profitable Product
21874,3696.65,2830,201,112,7,3724.36,-27.71,3696.65,2,Hidden Loss,✅ Profitable Product
21875,2214.56,1972,116,85,5,2249.56,-35,2214.56,0,Low Demand,✅ Profitable Product
21876,3999.86,3506,205,141,9,4058.76,-58.9,3999.86,2,Hidden Loss,✅ Profitable Product
21877,5573.79,4295,308,175,15,6708.11,-1134.32,5573.79,2,Hidden Loss,✅ Profitable Product
21878,1962.7,2384,154,121,2,1973.75,-11.05,1962.7,0,Low Demand,✅ Profitable Product
21879,303.23,1027,57,52,0,303.23,0,303.23,0,Low Demand,✅ Profitable Product
21880,661.14,1446,100,84,1,668.94,-7.8,661.14,0,Low Demand,✅ Profitable Product
21881,315.55,975,45,37,0,315.55,0,315.55,0,Low Demand,✅ Profitable Product
21882,191.28,600,38,35,0,191.28,0,191.28,0,Low Demand,📉 Low Performance
21883,580.87,1367,94,82,1,581.06,-0.19,580.87,0,Low Demand,✅ Profitable Product
21884,318.81,1017,44,43,0,318.81,0,318.81,0,Low Demand,✅ Profitable Product
21888,5699.46,1546,283,211,3,5725.71,-26.25,5699.46,2,Hidden Loss,✅ Profitable Product
21889,7183.45,5752,451,336,2,7215.95,-32.5,7183.45,2,Hidden Loss,✅ Profitable Product
21890,3250.01,1071,177,143,4,3262.51,-12.5,3250.01,2,Hidden Loss,✅ Profitable Product
21891,9963.9,7876,345,265,5,10019.47,-55.57,9963.9,2,Hidden Loss,✅ Profitable Product
21892,3640.5,2901,297,235,2,3656.75,-16.25,3640.5,2,Hidden Loss,✅ Profitable Product
21894,610.73,476,71,57,0,610.73,0,610.73,0,Low Demand,✅ Profitable Product
21895,4.25,1,1,1,0,4.25,0,4.25,0,Low Demand,📉 Low Performance
21896,2148.75,944,92,80,3,2158.5,-9.75,2148.75,0,Low Demand,✅ Profitable Product
21897,1250.82,402,2,1,0,1250.82,0,1250.82,0,Low Demand,✅ Profitable Product
21898,1423.03,445,7,6,0,1423.03,0,1423.03,0,Low Demand,✅ Profitable Product
21899,1605.12,2562,222,149,4,1633.07,-27.95,1605.12,2,Hidden Loss,✅ Profitable Product
21900,1959.78,3082,267,167,2,1963.03,-3.25,1959.78,2,Hidden Loss,✅ Profitable Product
21901,1137.01,1737,235,143,1,1142.86,-5.85,1137.01,2,Hidden Loss,✅ Profitable Product
21902,1171.53,1907,162,114,1,1176.73,-5.2,1171.53,0,Low Demand,✅ Profitable Product
21903,2333.28,1116,155,113,2,2360.58,-27.3,2333.28,0,Low Demand,✅ Profitable Product
21904,107.1,51,23,21,0,107.1,0,107.1,0,Low Demand,📉 Low Performance
21905,707.41,685,110,84,0,707.41,0,707.41,0,Low Demand,✅ Profitable Product
21906,3106.06,466,100,71,6,3220.81,-114.75,3106.06,0,Low Demand,✅ Profitable Product
21907,4734.25,2281,331,208,2,4761.55,-27.3,4734.25,2,Hidden Loss,✅ Profitable Product
21908,7153.92,3609,377,220,3,7208.52,-54.6,7153.92,2,Hidden Loss,✅ Profitable Product
21910,59.4,36,8,8,0,59.4,0,59.4,0,Low Demand,📉 Low Performance
21911,153.45,93,21,18,1,173.25,-19.8,153.45,0,Low Demand,📉 Low Performance
21912,5523.53,1575,268,201,0,5523.53,0,5523.53,2,Hidden Loss,✅ Profitable Product
21913,1131.28,302,91,72,2,1142.53,-11.25,1131.28,0,Low Demand,✅ Profitable Product
21914,9177.63,7398,519,307,2,9222.63,-45,9177.63,2,Hidden Loss,✅ Profitable Product
21915,23715.18,20912,569,350,8,23793.93,-78.75,23715.18,1,Stable,✅ Profitable Product
21916,1761.46,4339,249,156,1,1771.54,-10.08,1761.46,2,Hidden Loss,✅ Profitable Product
21917,1647.78,4082,188,132,2,1653.24,-5.46,1647.78,2,Hidden Loss,✅ Profitable Product
21918,2807.98,6997,285,193,3,2814.7,-6.72,2807.98,2,Hidden Loss,✅ Profitable Product
21922,5682.09,759,167,113,0,5682.09,0,5682.09,2,Hidden Loss,✅ Profitable Product
21925,496.25,397,69,38,4,503.75,-7.5,496.25,0,Low Demand,✅ Profitable Product
21926,492.4,400,62,35,2,509.9,-17.5,492.4,0,Low Demand,✅ Profitable Product
21927,721.15,583,106,42,8,769.9,-48.75,721.15,0,Low Demand,✅ Profitable Product
21928,17579.09,9436,552,264,10,18063.62,-484.53,17579.09,1,Stable,✅ Profitable Product
21929,18042.91,9667,614,308,12,18429.98,-387.07,18042.91,1,Stable,✅ Profitable Product
21930,10884.55,5703,474,220,3,10890.79,-6.24,10884.55,2,Hidden Loss,✅ Profitable Product
21931,21188.62,11182,791,334,17,21790.95,-602.33,21188.62,1,Stable,✅ Profitable Product
21932,4308.31,2434,322,218,3,4363.66,-55.35,4308.31,2,Hidden Loss,✅ Profitable Product
21933,4290.91,2407,286,198,3,4295.86,-4.95,4290.91,2,Hidden Loss,✅ Profitable Product
21934,2064.7,1278,144,85,1,2081.2,-16.5,2064.7,0,Low Demand,✅ Profitable Product
21935,2822.72,1762,205,121,1,2824.37,-1.65,2822.72,2,Hidden Loss,✅ Profitable Product
21936,10214.56,3702,397,223,12,10371.66,-157.1,10214.56,2,Hidden Loss,✅ Profitable Product
21937,4386.25,1575,212,146,6,4433.45,-47.2,4386.25,2,Hidden Loss,✅ Profitable Product
21942,124.35,149,24,14,1,134.55,-10.2,124.35,0,Low Demand,📉 Low Performance
21943,48.45,57,10,7,0,48.45,0,48.45,0,Low Demand,📉 Low Performance
21944,177.88,232,33,24,0,177.88,0,177.88,0,Low Demand,📉 Low Performance
21945,190.79,225,29,27,0,190.79,0,190.79,0,Low Demand,📉 Low Performance
21946,58.9,72,11,8,0,58.9,0,58.9,0,Low Demand,📉 Low Performance
21947,743.98,596,82,62,0,743.98,0,743.98,0,Low Demand,✅ Profitable Product
21948,543.07,418,54,37,0,543.07,0,543.07,0,Low Demand,✅ Profitable Product
21949,725.49,613,59,46,0,725.49,0,725.49,0,Low Demand,✅ Profitable Product
21955,6635.61,1159,155,108,0,6635.61,0,6635.61,2,Hidden Loss,✅ Profitable Product
21967,1506.24,5166,173,129,0,1506.24,0,1506.24,2,Hidden Loss,✅ Profitable Product
21972,420.5,290,41,37,2,423.4,-2.9,420.5,0,Low Demand,✅ Profitable Product
21973,229.1,158,31,26,1,230.55,-1.45,229.1,0,Low Demand,✅ Profitable Product
21974,2854.06,1975,235,177,6,2942.51,-88.45,2854.06,2,Hidden Loss,✅ Profitable Product
21975,5898.62,12063,532,289,3,5934.68,-36.06,5898.62,2,Hidden Loss,✅ Profitable Product
21976,2497.18,4938,278,182,2,2513.13,-15.95,2497.18,2,Hidden Loss,✅ Profitable Product
21977,11574.15,24163,675,411,6,11629.7,-55.55,11574.15,1,Stable,✅ Profitable Product
21980,1975.47,6427,252,193,2,2003.31,-27.84,1975.47,2,Hidden Loss,✅ Profitable Product
21981,1510.2,5288,191,143,1,1512.93,-2.73,1510.2,2,Hidden Loss,✅ Profitable Product
21982,2083.19,7345,260,182,1,2083.58,-0.39,2083.19,2,Hidden Loss,✅ Profitable Product
21983,705.77,2199,125,99,1,712.73,-6.96,705.77,0,Low Demand,✅ Profitable Product
21984,996.99,3285,158,124,1,1003.95,-6.96,996.99,0,Low Demand,✅ Profitable Product
21985,2550.29,8569,354,262,0,2550.29,0,2550.29,2,Hidden Loss,✅ Profitable Product
21986,1129.79,3985,155,118,0,1129.79,0,1129.79,0,Low Demand,✅ Profitable Product
21987,1246.29,2037,149,106,2,1254.74,-8.45,1246.29,0,Low Demand,✅ Profitable Product
21988,1663.3,2194,147,101,0,1663.3,0,1663.3,0,Low Demand,✅ Profitable Product
21989,1675.24,2068,205,130,0,1675.24,0,1675.24,2,Hidden Loss,✅ Profitable Product
21990,1730.05,1207,178,128,1,1745.05,-15,1730.05,0,Low Demand,✅ Profitable Product
21991,660.53,459,103,80,1,675.53,-15,660.53,0,Low Demand,✅ Profitable Product
21992,1658.69,1163,199,160,0,1658.69,0,1658.69,2,Hidden Loss,✅ Profitable Product
21993,1919.85,1354,206,151,1,1934.85,-15,1919.85,2,Hidden Loss,✅ Profitable Product
22021,577.5,350,64,60,0,577.5,0,577.5,0,Low Demand,✅ Profitable Product
22023,476.25,1131,85,71,1,481.29,-5.04,476.25,0,Low Demand,✅ Profitable Product
22024,923.95,2292,130,90,1,928.99,-5.04,923.95,0,Low Demand,✅ Profitable Product
22025,702,1764,88,73,1,707.04,-5.04,702,0,Low Demand,✅ Profitable Product
22026,642.24,1560,101,71,1,647.28,-5.04,642.24,0,Low Demand,✅ Profitable Product
22027,1640.87,3997,265,180,3,1702.79,-61.92,1640.87,2,Hidden Loss,✅ Profitable Product
22028,1198.45,2903,186,124,1,1203.49,-5.04,1198.45,2,Hidden Loss,✅ Profitable Product
22029,3125.18,7846,395,234,1,3130.22,-5.04,3125.18,2,Hidden Loss,✅ Profitable Product
22030,2130.63,5361,242,179,0,2130.63,0,2130.63,2,Hidden Loss,✅ Profitable Product
22031,153.57,351,33,28,1,158.61,-5.04,153.57,0,Low Demand,📉 Low Performance
22032,151.62,361,31,28,0,151.62,0,151.62,0,Low Demand,📉 Low Performance
22033,141.12,336,21,20,0,141.12,0,141.12,0,Low Demand,📉 Low Performance
22034,-3.78,-9,2,2,1,1.26,-5.04,-3.78,0,Low Demand,🚨 Loss Making Product
22035,574.06,1406,87,65,0,574.06,0,574.06,0,Low Demand,✅ Profitable Product
22037,1573.12,3795,257,173,0,1573.12,0,1573.12,2,Hidden Loss,✅ Profitable Product
22038,199.5,475,19,19,0,199.5,0,199.5,0,Low Demand,📉 Low Performance
22039,94.5,225,8,6,1,105,-10.5,94.5,0,Low Demand,📉 Low Performance
22040,304.5,725,28,27,0,304.5,0,304.5,0,Low Demand,✅ Profitable Product
22041,8357.07,3774,200,73,4,8450.82,-93.75,8357.07,2,Hidden Loss,✅ Profitable Product
22042,151.2,360,26,24,1,156.24,-5.04,151.2,0,Low Demand,📉 Low Performance
22043,283.32,1188,43,40,0,283.32,0,283.32,0,Low Demand,✅ Profitable Product
22044,196.44,816,36,35,0,196.44,0,196.44,0,Low Demand,📉 Low Performance
22045,2641.84,6452,208,148,2,2662.84,-21,2641.84,2,Hidden Loss,✅ Profitable Product
22046,914.72,2216,77,62,2,929,-14.28,914.72,0,Low Demand,✅ Profitable Product
22047,1373.5,3375,106,93,1,1384,-10.5,1373.5,0,Low Demand,✅ Profitable Product
22048,383,950,33,32,1,393.5,-10.5,383,0,Low Demand,✅ Profitable Product
22049,264.75,1000,32,27,1,275.25,-10.5,264.75,0,Low Demand,✅ Profitable Product
22050,488,1200,41,37,1,498.5,-10.5,488,0,Low Demand,✅ Profitable Product
22051,420,1000,39,36,0,420,0,420,0,Low Demand,✅ Profitable Product
22052,229.32,546,24,22,1,239.82,-10.5,229.32,0,Low Demand,✅ Profitable Product
22053,3596.42,4236,26,23,0,3596.42,0,3596.42,0,Low Demand,✅ Profitable Product
22055,1627.33,1225,149,103,7,1665.08,-37.75,1627.33,0,Low Demand,✅ Profitable Product
22057,576.66,530,60,46,4,648.18,-71.52,576.66,0,Low Demand,✅ Profitable Product
22059,1937.41,1725,150,85,8,1973.17,-35.76,1937.41,0,Low Demand,✅ Profitable Product
22060,1031.75,217,40,32,6,1118.95,-87.2,1031.75,0,Low Demand,✅ Profitable Product
22061,3715.58,549,144,87,15,3864.63,-149.05,3715.58,2,Hidden Loss,⚠️ High Return Risk
22062,598.91,553,53,43,1,603.89,-4.98,598.91,0,Low Demand,✅ Profitable Product
22063,1109.5,538,86,56,5,1127.2,-17.7,1109.5,0,Low Demand,✅ Profitable Product
22064,2085,1572,178,87,15,2142.6,-57.6,2085,2,Hidden Loss,⚠️ High Return Risk
22065,2870,6418,172,132,8,2892.02,-22.02,2870,2,Hidden Loss,✅ Profitable Product
22066,1033.43,2243,133,100,2,1035.38,-1.95,1033.43,0,Low Demand,✅ Profitable Product
22067,560.03,383,51,33,3,569.13,-9.1,560.03,0,Low Demand,✅ Profitable Product
22068,487.92,424,83,57,2,509.37,-21.45,487.92,0,Low Demand,✅ Profitable Product
22069,240.78,220,37,26,0,240.78,0,240.78,0,Low Demand,✅ Profitable Product
22070,1697.89,578,89,64,5,2034.43,-336.54,1697.89,0,Low Demand,✅ Profitable Product
22071,1118.29,425,77,65,5,1298.79,-180.5,1118.29,0,Low Demand,✅ Profitable Product
22072,2467.94,794,148,91,9,2539.19,-71.25,2467.94,0,Low Demand,✅ Profitable Product
22073,1029.6,288,47,38,2,1074.6,-45,1029.6,0,Low Demand,✅ Profitable Product
22074,754.79,989,76,61,1,774.59,-19.8,754.79,0,Low Demand,✅ Profitable Product
22075,1999.43,1553,121,96,1,2019.23,-19.8,1999.43,0,Low Demand,✅ Profitable Product
22076,1304.37,1035,113,96,0,1304.37,0,1304.37,0,Low Demand,✅ Profitable Product
22077,14932.49,8571,732,413,6,14988.59,-56.1,14932.49,1,Stable,✅ Profitable Product
22078,2610,1300,143,105,0,2610,0,2610,0,Low Demand,✅ Profitable Product
22079,2782.49,1685,228,190,3,2831.99,-49.5,2782.49,2,Hidden Loss,✅ Profitable Product
22080,1885.8,1172,127,116,1,1902.3,-16.5,1885.8,0,Low Demand,✅ Profitable Product
22081,978.37,585,90,74,1,994.87,-16.5,978.37,0,Low Demand,✅ Profitable Product
22082,4175.78,2538,336,250,2,4208.78,-33,4175.78,2,Hidden Loss,✅ Profitable Product
22083,11904.56,4260,448,295,4,12043.21,-138.65,11904.56,2,Hidden Loss,✅ Profitable Product
22084,13314.2,4852,376,278,2,13435.15,-120.95,13314.2,2,Hidden Loss,✅ Profitable Product
22085,1415.65,507,73,62,0,1415.65,0,1415.65,0,Low Demand,✅ Profitable Product
22086,41500.48,15164,990,615,10,42660.83,-1160.35,41500.48,1,Stable,✅ Profitable Product
22087,10040.25,3703,265,155,8,10264.05,-223.8,10040.25,2,Hidden Loss,✅ Profitable Product
22088,4533.9,1642,172,115,3,4683.1,-149.2,4533.9,2,Hidden Loss,✅ Profitable Product
